file,scenario,sentence
000000,calendar,event
000001,calendar,event
000002,calendar,event
000003,calendar,event
000004,calendar,i need an event three days from now scheduled with amy
000005,calendar,i need an event three days from now scheduled with amy
000006,calendar,i need an event three days from now scheduled with amy
000007,calendar,i want you to remind me the next meeting with my girlfriend it will be at eight pm next sunday
000008,calendar,i want you to remind me the next meeting with my girlfriend it will be at eight pm next sunday
000009,calendar,i want you to remind me the next meeting with my girlfriend it will be at eight pm next sunday
000010,calendar,i want you to remind me the next meeting with my girlfriend it will be at eight pm next sunday
000011,calendar,when will i meet with joe next
000012,calendar,please remind me about the eleven am business meet
000013,calendar,do i have any upcoming reminders
000014,calendar,do i have any upcoming reminders
000015,calendar,do i have any upcoming reminders
000016,calendar,do i have any upcoming reminders
000017,calendar,do i have any upcoming reminders
000018,calendar,do i have any upcoming reminders
000019,calendar,do i have any upcoming reminders
000020,calendar,could you please create a new event on my calendar
000021,calendar,could you please create a new event on my calendar
000022,calendar,could you please create a new event on my calendar
000023,calendar,could you please create a new event on my calendar
000024,calendar,tell me my meetings this wednesday morning
000025,calendar,tell me my meetings this wednesday morning
000026,calendar,tell me my meetings this wednesday morning
000027,calendar,add dentist appointment for friday at five
000028,calendar,add dentist appointment for friday at five
000029,calendar,add dentist appointment for friday at five
000030,calendar,add dentist appointment for friday at five
000031,calendar,add dentist appointment for friday at five
000032,calendar,add dentist appointment for friday at five
000033,calendar,add dentist appointment for friday at five
000034,calendar,set a notification for eleven march that an interview is scheduled with mr rodriguez
000035,calendar,set a notification for eleven march that an interview is scheduled with mr rodriguez
000036,calendar,next month my brothers birthday
000037,calendar,remind me in the morning to call my mother
000038,calendar,remind me in the morning to call my mother
000039,calendar,remind me in the morning to call my mother
000040,calendar,remind me in the morning to call my mother
000041,calendar,erase next calendar event
000042,calendar,what is the my upcoming events
000043,calendar,what time is my meeting
000044,calendar,appointments this wednesday
000045,calendar,appointments this wednesday
000046,calendar,appointments this wednesday
000047,calendar,schedule my doctors appointment on friday at two pm
000048,calendar,schedule my doctors appointment on friday at two pm
000049,calendar,schedule my doctors appointment on friday at two pm
000050,calendar,remind my friend to get the assignment tomorrow
000051,calendar,please schedule a hair cutting appointment for one pm on saturday
000052,calendar,make appointment for next friday
000053,calendar,please feed that i have meeting at five pm
000054,calendar,please feed that i have meeting at five pm
000055,calendar,please feed that i have meeting at five pm
000056,calendar,please feed that i have meeting at five pm
000057,calendar,what is the location of my work project meeting
000058,calendar,what is the location of my work project meeting
000059,calendar,what is the location of my work project meeting
000060,calendar,what do i have to do tomorrow
000061,calendar,what do i have to do tomorrow
000062,calendar,what do i have to do tomorrow
000063,calendar,please schedule a meeting with my secretary
000064,calendar,please schedule a meeting with my secretary
000065,calendar,please schedule a meeting with my secretary
000066,calendar,please schedule a meeting with my secretary
000067,calendar,remind me to pay the electricity bill on this weekend at nine am
000068,calendar,remind me to pay the electricity bill on this weekend at nine am
000069,calendar,remind me to pay the electricity bill on this weekend at nine am
000070,calendar,show me all meeting reminder
000071,calendar,i need a reminder for tomorrow for joe's party after work
000072,calendar,where is my meeting
000073,calendar,where is my meeting
000074,calendar,do i have any off days this week
000075,calendar,remove the hip show from my schedule on april second
000076,calendar,remove the hip show from my schedule on april second
000077,calendar,remove the hip show from my schedule on april second
000078,calendar,is the balloon festival this weekend
000079,calendar,is the balloon festival this weekend
000080,calendar,is the balloon festival this weekend
000081,calendar,is the balloon festival this weekend
000082,calendar,is the balloon festival this weekend
000083,calendar,remove all the reminders from the calendar
000084,calendar,remove all the reminders from the calendar
000085,calendar,remind me to turn off the lights in ten minutes
000086,calendar,remind me to turn off the lights in ten minutes
000087,calendar,add to calendar an medical appointment for the first day of the next five months
000088,calendar,remind me when i reach
000089,calendar,remind me when i reach
000090,calendar,latest reminder about meeting
000091,calendar,latest reminder about meeting
000092,calendar,do i have an appointment for january the third
000093,calendar,delete new year's eve from the calendar
000094,calendar,delete new year's eve from the calendar
000095,calendar,delete new year's eve from the calendar
000096,calendar,attitude
000097,calendar,attitude
000098,calendar,attitude
000099,calendar,attitude
000100,calendar,what's my next appointment
000101,calendar,what's my next appointment
000102,calendar,i don't want any events listed on the calendar
000103,calendar,set an event happy birthday john to repeat on twenty one january two thousand and seventeen
000104,calendar,set an event happy birthday john to repeat on twenty one january two thousand and seventeen
000105,calendar,set an event happy birthday john to repeat on twenty one january two thousand and seventeen
000106,calendar,set up an event recurring throughout the month
000107,calendar,remind me about my eye exam at walmart on the twenty sixth
000108,calendar,remind me about my eye exam at walmart on the twenty sixth
000109,calendar,what do i have planned next monday from noon to three
000110,calendar,what do i have planned next monday from noon to three
000111,calendar,what do i have planned next monday from noon to three
000112,calendar,i would like to attend church every sunday at eleven am
000113,calendar,i would like to attend church every sunday at eleven am
000114,calendar,i would like to attend church every sunday at eleven am
000115,calendar,remove the next event on my calendar
000116,calendar,remove the next event on my calendar
000117,calendar,remove the next event on my calendar
000118,calendar,i would like to know my next schedule details
000119,calendar,i would like to know my next schedule details
000120,calendar,clear all concert schedule
000121,calendar,what time is my meeting on thursday
000122,calendar,what time is my meeting on thursday
